alpha,total,prop_w,bpa_25,bpa_50,bpa_75,bpa_90,bpa_99,bbp_25,bbp_50,bbp_75,bbp_90,bbp_99
0.05,10000,0.57,0.0146,0.0236,0.0391,0.0615,0.1256,0.0062,0.0152,0.0286,0.0446,0.1218
0.05,10000,0.58,0.0112,0.0182,0.0301,0.0471,0.0962,0.0049,0.0118,0.0221,0.0346,0.0957
0.05,10000,0.59,0.0089,0.0144,0.0238,0.037,0.0757,0.004,0.0094,0.0176,0.0276,0.0747
0.05,10000,0.6,0.0073,0.0117,0.0193,0.0302,0.0613,0.0033,0.0077,0.0144,0.0225,0.0611
0.05,10000,0.61,0.0061,0.0097,0.016,0.025,0.0508,0.0028,0.0065,0.012,0.0187,0.0511
0.05,10000,0.62,0.0051,0.008,0.0133,0.021,0.0424,0.0024,0.0055,0.0101,0.0158,0.042
0.05,10000,0.63,0.0043,0.0069,0.0112,0.0179,0.0361,0.0021,0.0048,0.0087,0.0135,0.0355
0.05,10000,0.64,0.0038,0.0059,0.0099,0.0152,0.0311,0.0019,0.0041,0.0075,0.0117,0.0296
0.05,10000,0.65,0.0033,0.0052,0.0085,0.0132,0.0269,0.0017,0.0036,0.0066,0.0102,0.0269
0.05,10000,0.66,0.0028,0.0047,0.0076,0.0116,0.0236,0.0015,0.0032,0.0059,0.009,0.0231
0.05,10000,0.67,0.0025,0.0042,0.0066,0.0103,0.0209,0.0014,0.0029,0.0052,0.008,0.0207
0.05,10000,0.68,0.0022,0.0037,0.0059,0.0091,0.0184,0.0013,0.0026,0.0047,0.0071,0.0185
0.05,10000,0.69,0.0022,0.0032,0.0055,0.0082,0.0166,0.0012,0.0024,0.0042,0.0064,0.0153
0.05,10000,0.7,0.0019,0.003,0.0047,0.0075,0.0148,0.0011,0.0021,0.0038,0.0058,0.0144
0.05,10000,0.71,0.0017,0.0027,0.0042,0.0068,0.0134,0.001,0.002,0.0034,0.0053,0.0125
0.05,10000,0.72,0.0016,0.0024,0.004,0.0061,0.012,0.001,0.0018,0.0032,0.0048,0.0117
0.05,10000,0.73,0.0014,0.0022,0.0037,0.0056,0.0111,0.0009,0.0017,0.0029,0.0044,0.0108
0.05,10000,0.74,0.0013,0.0021,0.0032,0.0051,0.0102,0.0009,0.0016,0.0027,0.004,0.01
0.05,10000,0.75,0.0013,0.0019,0.003,0.0046,0.0092,0.0008,0.0015,0.0025,0.0037,0.0085
0.05,10000,0.76,0.001,0.0019,0.0027,0.0043,0.0085,0.0008,0.0014,0.0023,0.0034,0.0078
0.05,10000,0.77,0.001,0.0016,0.0024,0.0038,0.0077,0.0008,0.0013,0.0021,0.0032,0.0071
0.05,10000,0.78,0.001,0.0016,0.0024,0.0036,0.0073,0.0007,0.0012,0.002,0.0029,0.0071
0.05,10000,0.79,0.001,0.0013,0.0022,0.0033,0.0065,0.0007,0.0012,0.0018,0.0028,0.0065
0.05,10000,0.8,0.001,0.0013,0.0022,0.003,0.0063,0.0007,0.0011,0.0017,0.0026,0.0059
0.05,10000,0.81,0.001,0.0013,0.0019,0.0031,0.0058,0.0006,0.001,0.0016,0.0024,0.0053
0.05,10000,0.82,0.001,0.0013,0.0019,0.0028,0.0053,0.0006,0.001,0.0015,0.0022,0.0053
0.05,10000,0.83,0.0006,0.001,0.0016,0.0025,0.005,0.0006,0.0009,0.0015,0.0021,0.0047
0.05,10000,0.84,0.0006,0.0009,0.0016,0.0022,0.0045,0.0006,0.0009,0.0014,0.002,0.0042
0.05,10000,0.85,0.0006,0.0009,0.0016,0.0022,0.0042,0.0006,0.0009,0.0013,0.0019,0.0042
0.05,10000,0.86,0.0006,0.0009,0.0013,0.0019,0.0039,0.0005,0.0008,0.0012,0.0018,0.0037
0.05,10000,0.87,0.0006,0.0009,0.0013,0.002,0.0037,0.0005,0.0008,0.0012,0.0017,0.0037
0.05,10000,0.88,0.0006,0.0009,0.0013,0.0016,0.0034,0.0005,0.0008,0.0011,0.0016,0.0033
0.05,10000,0.89,0.0006,0.0009,0.0009,0.0017,0.0031,0.0005,0.0007,0.0011,0.0015,0.0033
0.05,10000,0.9,0.0006,0.0006,0.0009,0.0017,0.0028,0.0005,0.0007,0.001,0.0014,0.0033
0.05,10000,0.91,0.0006,0.0006,0.0009,0.0013,0.0029,0.0005,0.0007,0.001,0.0014,0.0029
0.05,10000,0.92,0.0005,0.0005,0.0009,0.0013,0.0025,0.0005,0.0007,0.0009,0.0013,0.0029
0.05,10000,0.93,0.0005,0.0005,0.0009,0.0014,0.0022,0.0004,0.0006,0.0009,0.0012,0.0025
0.05,10000,0.94,0.0005,0.0005,0.001,0.001,0.0023,0.0004,0.0006,0.0009,0.0012,0.0025
0.05,10000,0.95,0.0005,0.0005,0.0005,0.001,0.0019,0.0004,0.0006,0.0008,0.0011,0.0021
0.05,10000,0.96,0.0005,0.0005,0.0005,0.001,0.002,0.0004,0.0006,0.0008,0.001,0.0021
0.05,10000,0.97,0.0005,0.0005,0.0005,0.001,0.0016,0.0004,0.0006,0.0008,0.001,0.0021
0.05,10000,0.98,0.0005,0.0005,0.0005,0.0005,0.0017,0.0004,0.0005,0.0007,0.0009,0.0018
0.05,10000,0.99,0.0005,0.0005,0.0005,0.0005,0.0012,0.0004,0.0005,0.0007,0.0009,0.0018
0.01,10000,0.51,1.0,1.0,1.0,1.0,1.0,0.4134,0.5812,0.6988,0.7727,0.8971
0.01,10000,0.52,0.3157,0.4771,0.7279,1.0,1.0,0.1512,0.2585,0.3671,0.4581,0.689
0.01,10000,0.53,0.1407,0.2125,0.324,0.4713,0.862,0.0742,0.1347,0.2052,0.2738,0.5016
0.01,10000,0.54,0.0794,0.1198,0.1825,0.2654,0.485,0.0437,0.081,0.1272,0.1752,0.3617
0.01,10000,0.55,0.051,0.0769,0.1169,0.1697,0.3102,0.0287,0.0537,0.0855,0.1198,0.2535
0.01,10000,0.56,0.0354,0.0535,0.0811,0.118,0.2152,0.0203,0.0381,0.0611,0.0864,0.1902
0.01,10000,0.57,0.0262,0.0393,0.0597,0.0868,0.1582,0.0152,0.0284,0.0458,0.0651,0.1508
0.01,10000,0.58,0.0201,0.0301,0.0458,0.0662,0.1208,0.0119,0.022,0.0355,0.0507,0.1185
0.01,10000,0.59,0.0158,0.0237,0.036,0.0525,0.0954,0.0096,0.0176,0.0283,0.0405,0.0957
0.01,10000,0.6,0.0128,0.0193,0.0293,0.0424,0.0773,0.0078,0.0144,0.0231,0.0332,0.0772
0.01,10000,0.61,0.0107,0.0161,0.0242,0.035,0.0638,0.0066,0.012,0.0193,0.0275,0.0655
0.01,10000,0.62,0.009,0.0133,0.0204,0.0293,0.0534,0.0056,0.0102,0.0163,0.0232,0.055
0.01,10000,0.63,0.0078,0.0115,0.0172,0.0251,0.0453,0.0048,0.0087,0.0139,0.0199,0.0455
0.01,10000,0.64,0.0066,0.0098,0.0147,0.0215,0.039,0.0041,0.0076,0.0121,0.0172,0.0387
0.01,10000,0.65,0.0058,0.0086,0.0129,0.0188,0.0339,0.0036,0.0067,0.0106,0.0151,0.034
0.01,10000,0.66,0.0051,0.0074,0.0113,0.0163,0.0297,0.0032,0.0059,0.0093,0.0133,0.0296
0.01,10000,0.67,0.0045,0.0067,0.0101,0.0144,0.0263,0.0029,0.0052,0.0083,0.0118,0.0269
0.01,10000,0.68,0.004,0.006,0.0089,0.0128,0.0231,0.0026,0.0047,0.0074,0.0105,0.0231
0.01,10000,0.69,0.0037,0.0055,0.0079,0.0114,0.0209,0.0024,0.0042,0.0067,0.0094,0.0207
0.01,10000,0.7,0.0034,0.0047,0.0072,0.0102,0.0185,0.0022,0.0038,0.006,0.0085,0.0185
0.01,10000,0.71,0.0029,0.0044,0.0065,0.0093,0.0169,0.002,0.0034,0.0055,0.0077,0.0163
0.01,10000,0.72,0.0026,0.0039,0.006,0.0086,0.0153,0.0019,0.0032,0.005,0.0071,0.0153
0.01,10000,0.73,0.0026,0.0036,0.0055,0.0078,0.0139,0.0018,0.0029,0.0045,0.0065,0.0134
0.01,10000,0.74,0.0023,0.0034,0.005,0.0071,0.0127,0.0017,0.0027,0.0042,0.0059,0.0125
0.01,10000,0.75,0.0023,0.0031,0.0044,0.0063,0.0115,0.0016,0.0025,0.0038,0.0054,0.0117
0.01,10000,0.76,0.002,0.0028,0.0042,0.0058,0.0105,0.0015,0.0023,0.0035,0.005,0.0108
0.01,10000,0.77,0.002,0.0025,0.0039,0.0056,0.0098,0.0014,0.0022,0.0033,0.0046,0.01
0.01,10000,0.78,0.0017,0.0025,0.0036,0.0051,0.0091,0.0013,0.002,0.003,0.0042,0.0093
0.01,10000,0.79,0.0016,0.0022,0.0034,0.0045,0.0083,0.0012,0.0019,0.0029,0.004,0.0085
0.01,10000,0.8,0.0016,0.0022,0.0031,0.0043,0.0075,0.0012,0.0018,0.0027,0.0037,0.0078
0.01,10000,0.81,0.0013,0.0019,0.0028,0.004,0.007,0.0011,0.0017,0.0025,0.0034,0.0071
0.01,10000,0.82,0.0013,0.0019,0.0025,0.0037,0.0065,0.0011,0.0016,0.0024,0.0032,0.0065
0.01,10000,0.83,0.0013,0.0019,0.0025,0.0035,0.0063,0.001,0.0015,0.0022,0.003,0.0065
0.01,10000,0.84,0.0013,0.0016,0.0022,0.0032,0.0057,0.001,0.0015,0.0021,0.0029,0.0059
0.01,10000,0.85,0.0012,0.0016,0.0022,0.0032,0.0052,0.0009,0.0014,0.002,0.0027,0.0053
0.01,10000,0.86,0.0009,0.0016,0.0019,0.0029,0.0049,0.0009,0.0013,0.0019,0.0025,0.0047
0.01,10000,0.87,0.0009,0.0012,0.0019,0.0026,0.0047,0.0008,0.0013,0.0018,0.0024,0.0047
0.01,10000,0.88,0.0009,0.0012,0.0019,0.0026,0.0044,0.0008,0.0012,0.0017,0.0022,0.0042
0.01,10000,0.89,0.0008,0.0012,0.0016,0.0023,0.0041,0.0008,0.0011,0.0016,0.0021,0.0042
0.01,10000,0.9,0.0008,0.0012,0.0016,0.0023,0.0038,0.0007,0.0011,0.0015,0.002,0.0037
0.01,10000,0.91,0.0008,0.0012,0.0016,0.002,0.0035,0.0007,0.001,0.0015,0.0019,0.0037
0.01,10000,0.92,0.0008,0.0008,0.0012,0.002,0.0032,0.0007,0.001,0.0014,0.0018,0.0033
0.01,10000,0.93,0.0008,0.0008,0.0012,0.0016,0.0029,0.0007,0.0009,0.0013,0.0017,0.0033
0.01,10000,0.94,0.0008,0.0008,0.0012,0.0017,0.003,0.0007,0.0009,0.0012,0.0016,0.0029
0.01,10000,0.95,0.0008,0.0008,0.0012,0.0017,0.0026,0.0006,0.0009,0.0012,0.0015,0.0029
0.01,10000,0.96,0.0008,0.0008,0.0012,0.0012,0.0022,0.0006,0.0008,0.0011,0.0015,0.0029
0.01,10000,0.97,0.0007,0.0007,0.0007,0.0013,0.0023,0.0006,0.0008,0.0011,0.0014,0.0025
0.01,10000,0.98,0.0007,0.0007,0.0007,0.0013,0.0019,0.0006,0.0008,0.001,0.0013,0.0025
0.01,10000,0.99,0.0007,0.0007,0.0007,0.0007,0.0014,0.0006,0.0007,0.001,0.0012,0.0021
